@relation GENERATED
@attribute X numeric
@attribute Y numeric
@attribute CLASS {MIN,MAJ}
@data
113.89062916859984,52.2099243210421,MIN
213.89062916859984,-14.456742345624606,MIN
163.89062916859984,-36.678964567846826,MIN
263.89062916859984,96.65436876548652,MIN
138.89062916859984,29.987702098819867,MIN
238.89062916859984,-58.90118679006904,MIN
188.89062916859984,74.43214654326428,MIN
288.89062916859984,7.765479876597636,MIN
107.64062916859984,-88.53081641969868,MIN
207.64062916859984,44.802516913634705,MIN
157.64062916859984,-21.864149753032013,MIN
257.64062916859984,-44.08637197525424,MIN
132.64062916859984,89.24696135807912,MIN
232.64062916859984,22.580294691412472,MIN
182.64062916859984,-66.30859419747645,MIN
282.64062916859984,67.02473913585689,MIN
120.14062916859984,0.3580724691902404,MIN
220.14062916859984,-99.5047533195615,MIN
170.14062916859984,33.82858001377185,MIN
270.14062916859984,-32.83808665289484,MIN
145.14062916859984,-55.06030887511706,MIN
295.2083807438612,367.85403348487677,MIN
104.5833807438612,301.1873668182101,MIN
204.5833807438612,201.59888945195496,MIN
154.5833807438612,334.9322227852883,MIN
254.5833807438612,268.2655561186216,MIN
129.5833807438612,246.04333389639942,MIN
229.5833807438612,379.37666722973273,MIN
179.5833807438612,312.7100005630661,MIN
279.5833807438612,223.8211116741772,MIN
117.0833807438612,357.1544450075105,MIN
217.0833807438612,290.4877783408438,MIN
167.0833807438612,216.4137042667698,MIN
267.0833807438612,349.7470376001031,MIN
142.0833807438612,283.0803709334364,MIN
242.0833807438612,260.8581487112142,MIN
192.0833807438612,394.19148204454757,MIN
292.0833807438612,327.5248153778809,MIN
110.8333807438612,238.635926488992,MIN
210.8333807438612,371.9692598223253,MIN
160.8333807438612,305.30259315565866,MIN
260.8333807438612,209.00629685936235,MIN
126.73374731093645,594.3423215113781,MIN
226.73374731093645,520.268247437304,MIN
176.73374731093645,653.6015807706374,MIN
276.73374731093645,586.9349141039708,MIN
114.23374731093645,564.7126918817485,MIN
214.23374731093645,698.0460252150818,MIN
164.23374731093645,631.3793585484152,MIN
264.23374731093645,542.4904696595263,MIN
139.23374731093645,675.8238029928596,MIN
239.23374731093645,609.1571363261929,MIN
189.23374731093645,512.8608400298966,MIN
289.23374731093645,646.19417336323,MIN
107.98374731093645,579.5275066965634,MIN
207.98374731093645,557.3052844743411,MIN
157.98374731093645,690.6386178076743,MIN
257.98374731093645,623.9719511410077,MIN
132.98374731093645,535.0830622521189,MIN
232.98374731093645,668.4163955854522,MIN
182.98374731093645,601.7497289187855,MIN
282.98374731093645,502.9842968200201,MIN
120.48374731093645,636.3176301533534,MIN
256.49065785109997,952.2777530058131,MIN
131.49065785109997,885.6110863391464,MIN
231.49065785109997,863.3888641169242,MIN
181.49065785109997,996.7221974502576,MIN
281.49065785109997,930.0555307835908,MIN
118.99065785109997,841.166641894702,MIN
218.99065785109997,974.4999752280353,MIN
168.99065785109997,907.8333085613687,MIN
268.99065785109997,811.5370122650723,MIN
143.99065785109997,944.8703455984057,MIN
243.99065785109997,878.203678931739,MIN
193.99065785109997,855.9814567095168,MIN
293.99065785109997,989.3147900428501,MIN
103.36565785109997,922.6481233761834,MIN
203.36565785109997,833.7592344872946,MIN
153.36565785109997,967.0925678206279,MIN
253.36565785109997,900.4259011539613,MIN
128.36565785109997,800.8374237877061,MIN
228.36565785109997,934.1707571210394,MIN
178.36565785109997,867.5040904543728,MIN
278.36565785109997,845.2818682321506,MIN
115.86565785109997,978.6152015654839,MIN
215.86565785109997,911.9485348988172,MIN
165.86565785109997,823.0596460099283,MIN
265.86565785109997,956.3929793432617,MIN
140.86565785109997,889.726312676595,MIN
240.86565785109997,815.6522386025209,MIN
190.86565785109997,948.9855719358543,MIN
290.86565785109997,882.3189052691876,MIN
109.61565785109997,860.0966830469654,MIN
209.61565785109997,993.4300163802986,MIN
